codigo_instituicao,instituicao,codigo_curso,curso,vagas_iniciais,colocados,nota_ultimo_colocado,vagas_sobrantes,ano,fase,taxa_ocupacao,nome_universidade,nome_faculdade,course_id
0502,Universidade de Coimbra - Faculdade de Direito,0003,Administração Pública,50.0,30.0,116.0,20.0,2004,1,0.6,Universidade de Coimbra,Faculdade de Direito,0003_0502
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0016,Antropologia,45.0,45.0,112.0,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0016_0501
0804,Universidade Técnica de Lisboa - Instituto Superior de Ciências Sociais e Políticas,0016,Antropologia,49.0,36.0,104.5,13.0,2004,1,0.7346938775510204,Universidade Técnica de Lisboa,Instituto Superior de Ciências Sociais e Políticas,0016_0804
0902,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,0016,Antropologia,60.0,60.0,106.0,0.0,2004,1,1.0,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,0016_0902
0802,Universidade Técnica de Lisboa - Faculdade de Arquitectura,0021,Arquitectura de Design de Moda,30.0,30.0,156.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Faculdade de Arquitectura,0021_0802
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0022,Arquitectura,50.0,50.0,154.8,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0022_0501
0802,Universidade Técnica de Lisboa - Faculdade de Arquitectura,0022,Arquitectura,108.0,108.0,172.5,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Faculdade de Arquitectura,0022_0802
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0022,Arquitectura,45.0,45.0,152.5,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,0022_0807
1102,Universidade do Porto - Faculdade de Arquitectura,0022,Arquitectura,108.0,108.0,178.5,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Arquitectura,0022_1102
0802,Universidade Técnica de Lisboa - Faculdade de Arquitectura,0023,Arquitectura de Interiores,30.0,30.0,162.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Faculdade de Arquitectura,0023_0802
0205,Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais,0025,Arquitectura Paisagista,30.0,11.0,103.9,19.0,2004,1,0.36666666666666664,Universidade do Algarve,Faculdade de Engenharia de Recursos Naturais,0025_0205
0803,Universidade Técnica de Lisboa - Instituto Superior de Agronomia,0025,Arquitectura Paisagista,36.0,36.0,126.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior de Agronomia,0025_0803
1103,Universidade do Porto - Faculdade de Ciências,0025,Arquitectura Paisagista,30.0,18.0,118.3,12.0,2004,1,0.6,Universidade do Porto,Faculdade de Ciências,0025_1103
0802,Universidade Técnica de Lisboa - Faculdade de Arquitectura,0026,Arquitectura do Planeamento Urbano e Territorial,30.0,30.0,153.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Faculdade de Arquitectura,0026_0802
0802,Universidade Técnica de Lisboa - Faculdade de Arquitectura,0027,Arquitectura da Gestão Urbanística,30.0,30.0,153.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Faculdade de Arquitectura,0027_0802
0802,Universidade Técnica de Lisboa - Faculdade de Arquitectura,0028,Arquitectura de Design,30.0,30.0,160.5,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Faculdade de Arquitectura,0028_0802
5402,Universidade do Porto - Faculdade de Belas-Artes,0038,Artes Plásticas - Escultura,45.0,45.0,126.0,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Belas-Artes,0038_5402
0130,Universidade dos Açores - Ponta Delgada,0048,Biologia,15.0,3.0,118.9,12.0,2004,1,0.2,Universidade dos Açores,Ponta Delgada,0048_0130
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0048,Biologia,90.0,90.0,130.3,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0048_0501
0803,Universidade Técnica de Lisboa - Instituto Superior de Agronomia,0048,Biologia,30.0,30.0,136.5,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior de Agronomia,0048_0803
1103,Universidade do Porto - Faculdade de Ciências,0048,Biologia,105.0,105.0,135.3,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Ciências,0048_1103
1103,Universidade do Porto - Faculdade de Ciências,0054,Biologia e Geologia (Ensino de),35.0,16.0,113.3,19.0,2004,1,0.45714285714285713,Universidade do Porto,Faculdade de Ciências,0054_1103
0202,Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente,0057,Biologia Marinha e Pescas,50.0,50.0,112.3,0.0,2004,1,1.0,Universidade do Algarve,Faculdade de Ciências do Mar e do Ambiente,0057_0202
0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,0063,Bioquímica,37.0,37.0,114.7,0.0,2004,1,1.0,Universidade do Algarve,Faculdade de Ciências e Tecnologia,0063_0203
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0063,Bioquímica,50.0,50.0,154.5,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0063_0501
0701,Universidade de Lisboa - Faculdade de Ciências,0063,Bioquímica,55.0,55.0,143.5,0.0,2004,1,1.0,Universidade de Lisboa,Faculdade de Ciências,0063_0701
